Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Instagrammed,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"10266-1","Creator Expert","Space",2019,"NASA Apollo 11 Lunar Lander",2,1087,89.99,99.99,139.99,99.99,5702016368277,673419302432,48,28.2,9.1,,"",1,1,0,,0,1,,,,,,,,,86.7400,73.8200,"01/06/2019","31/12/2023"
"10267-1","Creator Expert","Winter Village Collection",2019,"Gingerbread House",2,1477,84.99,99.99,139.99,89.99,5702016368284,,47.8,27.8,8.8,1.448,"",1,1,0,,0,1,,,,,,,,,121.2800,110.6900,"01/10/2019","31/12/2021"
"10283-1","Icons","Space",2021,"NASA Space Shuttle Discovery",,2354,169.99,199.99,269.99,199.99,5702016914061,673419340298,58.2,48,9.1,,"",1,1,0,,0,1,,,,,,,,,160.7600,164.2000,"01/04/2021","31/12/2024"
"10295-1","Icons","Vehicles",2021,"Porsche 911",,1458,149.99,169.99,209.99,169.99,5702016914351,673419340342,48,28.2,11.8,,"",1,1,0,,0,1,,,,,,,,,120.4600,100.3100,"01/03/2021","31/12/2024"
"21011-1","Architecture","Landmark Series",2011,"Brandenburg Gate",,363,34.99,34.99,44.99,34.99,5702014802636,,26.2,19.1,6.1,0.45,"",1,1,0,,0,1,,,,,,,,,93.2000,49.8300,"01/09/2011","31/12/2015"
"21027-1","Architecture","Skylines",2016,"Berlin",,289,24.99,29.99,39.99,29.99,5702015591225,673419247177,26.2,14.1,4.8,,"",1,1,0,,0,1,,,,,,,,,197.9200,127.3500,"01/01/2016","31/12/2017"
"21033-1","Architecture","Skylines",2017,"Chicago",,444,44.99,39.99,49.99,39.99,5702015865326,673419264402,19.1,26.2,6.1,,"",1,1,0,,0,1,,,,,,,,,152.1900,121.9700,"01/01/2017","31/12/2018"
"21309-1","Ideas","NASA",2017,"NASA Apollo Saturn V",,1969,109.99,119.99,149.99,119.99,5702016000078,673419344968,37.8,48,11.2,,"",1,1,0,,0,1,,,,,,,,,132.9700,92.4200,"01/06/2017","31/12/2019"
"21321-1","Ideas","NASA",2020,"International Space Station",,864,59.99,69.99,99.99,69.99,5702016719062,673419325790,38.2,26.2,7.1,0.61,"",1,1,0,,0,1,,,,,,,,,71.9100,50.8000,"01/02/2020","31/12/2022"
"30388-1","Star Wars","Episode VI",2021,"Imperial Shuttle",,85,,,,,5702016912050,673419338981,20,19.5,1.2,,"",1,1,0,,0,1,,,,,,,,,5.4100,3.0800,"01/01/2021","31/12/2021"
