Number,Theme,Subtheme,Year,Set name,Minifigs
10266-1,Creator Expert,Space,2019,NASA Apollo 11 Lunar Lander,2.0
10267-1,Creator Expert,Winter Village Collection,2019,Gingerbread House,2.0
10283-1,Icons,Space,2021,NASA Space Shuttle Discovery,0.0
10295-1,Icons,Vehicles,2021,Porsche 911,0.0
21011-1,Architecture,Landmark Series,2011,Brandenburg Gate,0.0
21027-1,Architecture,Skylines,2016,Berlin,0.0
21033-1,Architecture,Skylines,2017,Chicago,0.0
21309-1,Ideas,NASA,2017,NASA Apollo Saturn V,0.0
21321-1,Ideas,NASA,2020,International Space Station,0.0
30388-1,Star Wars,Episode VI,2021,Imperial Shuttle,0.0
30411-1,Friends,Miscellaneous,2020,Chocolate Box & Flower,0.0
30495-1,Star Wars,Episode V,2022,AT-ST,0.0
30624-1,Star Wars,Episode IV,2019,Obi-Wan Kenobi - Collectable Minifigure,1.0
31200-1,Art,Licensed,2020,Star Wars The Sith,0.0
40362-1,Star Wars,Promotional,2019,Battle of Endor,0.0
40367-1,BrickHeadz,Miscellaneous,2019,Lady Liberty,0.0
40391-1,Brick Sketches,Star Wars,2020,First Order Stormtrooper,0.0
40416-1,Seasonal,Christmas,2020,Ice Skating Rink,2.0
40417-1,Seasonal,Chinese Traditional Festivals,2021,Year of the Ox,0.0
40431-1,Brick Sketches,Star Wars,2020,BB-8,0.0
40448-1,Ideas,Promotional,2021,Vintage Car,2.0
40449-1,Seasonal,Easter,2021,Easter Bunny's Carrot House,0.0
40450-1,Promotional,Gift with Purchase,2021,Amelia Earhart Tribute,1.0
40451-1,Star Wars,Promotional,2021,Tatooine Homestead,0.0
40483-1,Star Wars,Promotional,2021,Luke Skywalker's Lightsaber,0.0
40486-1,Icons,Adidas,2021,Mini Adidas Originals Superstar,1.0
40487-1,Ideas,Promotional,2021,Sailboat Adventure,2.0
40527-1,Seasonal,Easter,2022,Easter Chicks,0.0
40529-1,Promotional,Gift with Purchase,2022,Children's Amusement Park,2.0
40531-1,Star Wars,Promotional,2022,Lars Family Homestead Kitchen,1.0
40533-1,Ideas,Promotional,2022,Cosmic Cardboard Adventures,1.0
40539-1,BrickHeadz,Star Wars,2022,Ahsoka Tano,0.0
40547-1,BrickHeadz,Star Wars,2022,Obi-Wan Kenobi & Darth Vader,0.0
40557-1,Star Wars,Episode V,2022,Defence of Hoth,3.0
40558-1,Star Wars,Episode II,2022,Clone Trooper Command Station,3.0
41608-1,BrickHeadz,Star Wars,2018,Han Solo,0.0
41609-1,BrickHeadz,Star Wars,2018,Chewbacca,0.0
41628-1,BrickHeadz,Star Wars,2018,Princess Leia Organa,0.0
42123-1,Technic,,2021,McLaren Senna GTR,0.0
71033-7,Collectable Minifigures, The Muppets,2022,Fozzie Bear,1.0
75029-1,Star Wars,Microfighters,2014,AAT Microfighter,1.0
75030-1,Star Wars,Microfighters,2014,Millennium Falcon Microfighter,1.0
75033-1,Star Wars,Microfighters,2014,Star Destroyer Microfighter,1.0
75075-1,Star Wars,Microfighters,2015,AT-AT Microfighter,1.0
75077-1,Star Wars,Microfighters,2015,Homing Spider Droid Microfighter,1.0
75079-1,Star Wars,Battlefront,2015,Shadow Troopers,4.0
75102-1,Star Wars,The Force Awakens,2015,Poe's X-wing Fighter,4.0
75104-1,Star Wars,The Force Awakens,2015,Kylo Ren's Command Shuttle,6.0
75105-1,Star Wars,The Force Awakens,2015,Millennium Falcon,7.0
75107-1,Star Wars,Buildable Figures,2015,Jango Fett,0.0
75111-1,Star Wars,Buildable Figures,2015,Darth Vader,0.0
75112-1,Star Wars,Buildable Figures,2015,General Grievous,0.0
75114-1,Star Wars,Buildable Figures,2016,First Order Stormtrooper,0.0
75117-1,Star Wars,Buildable Figures,2016,Kylo Ren,0.0
75118-1,Star Wars,Buildable Figures,2016,Captain Phasma,0.0
75119-1,Star Wars,Buildable Figures,2016,Sergeant Jyn Erso,0.0
75121-1,Star Wars,Buildable Figures,2016,Imperial Death Trooper,0.0
75125-1,Star Wars,Microfighters,2016,Resistance X-wing Fighter Microfighter,1.0
75126-1,Star Wars,Microfighters,2016,First Order Snowspeeder Microfighter,1.0
75128-1,Star Wars,MicroFighters,2016,TIE Advanced Prototype Microfighter,1.0
75129-1,Star Wars,Microfighters,2016,Wookiee Gunship Microfighter,1.0
75137-1,Star Wars,Episode V,2016,Carbon-Freezing Chamber,4.0
75145-1,Star Wars,Original Content,2016,Eclipse Fighter,2.0
75154-1,Star Wars,Rogue One,2016,TIE Striker,4.0
75155-1,Star Wars,Rogue One,2016,Rebel U-wing Fighter,5.0
75159-1,Star Wars,Ultimate Collector Series,2016,Death Star,27.0
75160-1,Star Wars,MicroFighters,2017,U-wing Microfighter,1.0
75161-1,Star Wars,MicroFighters,2017,TIE Striker Microfighter,1.0
